hdb,latitude,longitude
201 BEDOK NTH ST 1 SINGAPORE,1.32662388643563,103.931806159881
213 BEDOK NTH ST 1 SINGAPORE,1.32662388643563,103.931806159881
217 BEDOK NTH ST 1 SINGAPORE,1.32662388643563,103.931806159881
134 BEDOK NTH ST 2 SINGAPORE,1.32832133313255,103.93658216345
138 BEDOK NTH ST 2 SINGAPORE,1.33001011188999,103.936343483972
529 BEDOK NTH ST 3 SINGAPORE,1.33426946144275,103.926542284602
530 BEDOK NTH ST 3 SINGAPORE,1.33371332018833,103.927020293564
509 BEDOK NTH ST 3 SINGAPORE,1.33317541870197,103.931265025162
526 BEDOK NTH ST 3 SINGAPORE,1.33421551878132,103.92912981542
532 BEDOK NTH ST 3 SINGAPORE,1.33419173917878,103.925386600613
537 BEDOK NTH ST 3 SINGAPORE,1.33177300757048,103.924236461237
545 BEDOK NTH ST 3 SINGAPORE,1.3300514240201,103.924118031423
546 BEDOK NTH ST 3 SINGAPORE,1.33082005919243,103.925595840288
84 BEDOK NTH ST 4 SINGAPORE,1.33178245077456,103.939208398976
89 BEDOK NTH ST 4 SINGAPORE,1.33233468349262,103.938051284737
88 BEDOK NTH ST 4 SINGAPORE,1.3331333533723,103.939110909704
703 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
702 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
704 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
709 BEDOK RESERVOIR RD SINGAPORE,1.33541606639526,103.922350069667
609 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
616 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
109 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
740 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
33 BEDOK STH AVE 2 SINGAPORE,1.32283703302242,103.939124525951
69 BEDOK STH AVE 3 SINGAPORE,1.32234775413853,103.945858384014
46 BEDOK STH AVE 3 SINGAPORE,1.32148575339878,103.942854747015
40 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
39 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
44 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
45 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
50 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
